tag,slug,title,description,icon,content,language_id,region,content_type,created_by,cosmos_language_id,questions,level,standalone
action-card,res-action-card-initial-care-india,Initial care - India,Initial care - India,173f25422efa4e509ca0d50550e54b92,22c273a432e5414c993a1ef49bd94271,,africa,original,katrine@maternity.dk,,,,
action-card,res-action-card-newborn-management-prevention,Newborn Management Prevention,Newborn Management Prevention,de16cc82d44d4ede8880ae4cf1855fe5,a6fed0c42c874955aed2a92c58ac44d9,,africa,original,frederikke@maternity.dk,,,,
action-card,res-action-card-newborn-management-routine-care,Newborn Management Routine Care,Newborn Management Routine Care,173f25422efa4e509ca0d50550e54b92,1ab7ba2d639841eb83295137a47ef73f,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-breastfeeding-ind,Breastfeeding (IND),Breastfeeding (IND),d99b2d1276cd4e2092f8481a72e59dca,adc074323ae5420a8170cdd3d1323cf7,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-breastfeeding,Breastfeeding,Breastfeeding,75375a1adbb941a59a6c730f2fa41b81,71c1202d75da46b9bfe6590af6ea4c3b,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-early-detection-of-pph,Early detection of PPH,Early detection of PPH,fe8686b4599d4b22a6517e51cc31a2c9,8b148a516c35400bad53e208574876ae,,africa,original,natalia@maternity.dk,,,,
drug,res-drug-antibiotic-eye-drops,Antibiotic eye drops,Antibiotic eye drops,314c02db8335412c9c7d051c4e3b3c2c,b2f7bc84d86f4ab0825c8e025b4155fc,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-carbetocin,Carbetocin,Carbetocin,314c02db8335412c9c7d051c4e3b3c2c,35a881989214402a92838c4607382d71,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-chlorhexidine,Chlorhexidine,Chlorhexidine,314c02db8335412c9c7d051c4e3b3c2c,ecc2bb26b73d4bca858e986e97b6fdba,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-misoprostol,Misoprostol,Misoprostol,314c02db8335412c9c7d051c4e3b3c2c,a4339340db0e4d9e9ec3012010c9b045,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-vitamin-k,Vitamin K,Vitamin K,314c02db8335412c9c7d051c4e3b3c2c,27bd860e579541b29236f492d20c92ec,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-alert-values-for-the-first-and-second-stages-new-2025,Alert values for the first and second stages (NEW 2025),Alert values for the first and second stages (NEW 2025),945d4c12fc5d43d794ed3fb447f59d75,df129c5a2e8d463c8f083dceb0161aec,,africa,original,frederikke@maternity.dk,,,,
action-card,res-action-card-emergency-referral-prolonged-labour,Emergency Referral - Prolonged Labour,Emergency Referral - Prolonged Labour,6f23f0f9f5974c96b45ff76edd70ec24,cba31bc838be4f89a38e4b4f8a1fe819,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-vacuum-delivery-indications,Vacuum Delivery Indications,Vacuum Delivery Indications,2ab6cd8bc90f4ef5961a8a594812b916,d867ae76a4be4209b6d449bbed1831e5,,africa,original,frederikke@maternity.dk,,,,
action-card,res-action-card-partograph-ind,Partograph (IND),Partograph (IND),61a2f4de35df4b48a451d718c78206a9,33e6fe4cdde54e33a59c2a20aec471da,,africa,original,neelam@maternity.dk,,,,
action-card,res-action-card-vacuum-delivery-prerequisites,Vacuum Delivery Prerequisites,Vacuum Delivery Prerequisites,66bdd61d4f844c5d9c2793e6ddb87a19,3a1513c802d442b98b08288bf4235dd8,,africa,original,frederikke@maternity.dk,,,,
action-card,res-action-card-vacuum-delivery-procedure-as-by-also,Vacuum Delivery Procedure as by Also,Vacuum Delivery Procedure as by Also,0ea93adb85e740359c69d74a2a10e3b6,0e6ce2377f01414e98a2c0846c80c813,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-foetal-heart-rate,Foetal heart rate,Foetal heart rate,58ae4a4e86844863bd920c12a0769508,a41778b2e7c54b0787183662407fa7a1,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-vacuum-extractor,Vacuum extractor,Vacuum extractor,37acb58370724522b8428be51fd0401d,b24334791f494f1494929d96273c280b,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-post-partum-hemorrage-uterus,Post Partum Hemorrage Uterus,Post Partum Hemorrage Uterus,a4119b3df93943b598c8330e7f4a030d,1aaef8b660c841d3a850b131a3ae737e,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-post-partum-hemorrage-head,Post Partum Hemorrage Head,Post Partum Hemorrage Head,0ef84f4bdc3949fab651f9c06dfe57e2,ad36662464624334980c3b2372559e20,,africa,original,juliemollar@maternity.dk,,,,
action-card,res-action-card-post-partum-hemorrage-arms,Post Partum Hemorrage Arms,Post Partum Hemorrage Arms,2b5e7bffb9b7478397d866eaed781089,de6579c46eb240819a7c54cf4d45fba5,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-babc-ldhf-practice-sessions,BABC LDHF Practice Sessions,BABC LDHF Practice Sessions,bd9470d86cf041069b7a2047f08b5051,326cc92e3a3b4e0e849e62ec27683bd8,,africa,original,sarah@maternity.dk,,,,
action-card,res-action-card-babc-session-answers,BABC Session Answers,BABC Session Answers,5aae96e111f2435f8ec75b59fbc341fc,41a3a31a40a14dd3835335778f5b88d4,,africa,original,sarah@maternity.dk,,,,
action-card,res-action-card-emergency-referral-post-partum-hemorrhage,Emergency Referral - Post Partum Hemorrhage,Emergency Referral - Post Partum Hemorrhage,6f23f0f9f5974c96b45ff76edd70ec24,ecf8ff234250445ab9dfe19860e50518,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-head-postpartum-haemorrhage-new,Head - Postpartum haemorrhage (NEW),Head - Postpartum haemorrhage (NEW),0ef84f4bdc3949fab651f9c06dfe57e2,5d0c403cdeba488f94efdaaf0b9ad483,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-hms-babc-action-plans,HMS BABC - Action Plans,HMS BABC - Action Plans,7085cf00293c4c9b8118d59e91b85fcf,e8996ed113b54fbba208ccabe23017d6,,africa,original,katrine@maternity.dk,,,,
action-card,res-action-card-mnemonics-post-partum-hemorrhage,Mnemonics - Post Partum Hemorrhage,Mnemonics - Post Partum Hemorrhage,b4e3602a04ad4ae3888f31e24e85dd50,227132f5ed72419599c2a646ad756e62,,africa,original,catalin@maternity.dk,,,,
action-card,res-action-card-pph-bundle-of-care,PPH bundle of care,PPH bundle of care,ebdf74e9a2134489bde89a7f0513cde7,81152b82a88e4e06994f773663ee5e32,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-treatment-of-anaemia-after-pph,Treatment of anaemia after PPH,Treatment of anaemia after PPH,204910384e3b4b678f09f8569c3acdb5,7e777c88d07e4787a2cf428d6f978753,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-aortic-compression,Aortic Compression,Aortic Compression,f609b2e3a3ad4cda9c5b43c6f8c68358,7fbf65c3fdb748f99598ec0a05970001,,africa,original,neelam@maternity.dk,,,,
procedure,res-procedure-condom-balloon-tamponade,Condom Balloon Tamponade,Condom Balloon Tamponade,c25e666b675e4c7b843b6a2043ddcb97,012dcd1ee36341f89b40f4110d0779b6,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-non-pneumatic-anti-shock-garment,Non-pneumatic anti-shock garment,Non-pneumatic anti-shock garment,c3a72c7870ff4430b43bc874608d810b,b126ae17caec4881b0817263c3bf6f14,,africa,original,natalia@maternity.dk,,,,
procedure,res-procedure-perineal-tear-repair,Perineal Tear Repair,Perineal Tear Repair,9f69b919b3294cc4a601fab53b3ebf29,a3a4af824fc34b318bf554162b2c7fbb,,africa,original,neelam@maternity.dk,,,,
drug,res-drug-amoxicillin,Amoxicillin,Amoxicillin,e986c02925554c5f9eef4a2c78ff6fe2,d0bd3f6403b449b7a4f3ad7d38573ddd,,africa,original,frederikke@maternity.dk,,,,
drug,res-drug-carboprost,Carboprost,Carboprost,e986c02925554c5f9eef4a2c78ff6fe2,ab373e0a99704fe794481fe4e49a8a32,,africa,original,neelam@maternity.dk,,,,
drug,res-drug-iron-and-folic-acid-supplementation,Iron and folic acid supplementation,Iron and folic acid supplementation,e986c02925554c5f9eef4a2c78ff6fe2,1f7e80ba84ac48479e9fa6f62575bdba,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-iron,Iron,Iron,e986c02925554c5f9eef4a2c78ff6fe2,65a00d850d6c4027ab21ab303832a13f,,africa,original,nanna@maternity.dk,,,,
drug,res-drug-tranexamic-acid,Tranexamic Acid,Tranexamic Acid,e986c02925554c5f9eef4a2c78ff6fe2,fd06e46f8b9946eb9abff057bb99bfdb,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-emergency-referral-manual-removal-of-placenta,Emergency Referral - Manual Removal of Placenta,Emergency Referral - Manual Removal of Placenta,6f23f0f9f5974c96b45ff76edd70ec24,fd3824c9292f4cd09d7ec34f739c714c,,africa,original,natalia@maternity.dk,,,,
drug,res-drug-ceftriaxone,Ceftriaxone,Ceftriaxone,bdc248bcc0af419bbd4ae03f3181ae3d,dd2e968a9f914cfd8f84f28b0313c91b,,africa,original,nanna@maternity.dk,,,,
action-card,res-action-card-maternal-sepsis-definitions,Maternal Sepsis Definitions,Maternal Sepsis Definitions,204910384e3b4b678f09f8569c3acdb5,28a9c117471f455b914e4bc2632c9d36,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-maternal-sepsis-emergency-management,Maternal Sepsis Emergency Management,Maternal Sepsis Emergency Management,d69fe84638674392b2c20636d0a6ce2d,640627b54a404c0b96f840034fd1e481,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-emergency-referral-maternal-sepsis,Emergency Referral - Maternal Sepsis,Emergency Referral - Maternal Sepsis,6f23f0f9f5974c96b45ff76edd70ec24,7d21ed79599846c5946d3301fa7e9c13,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-maternal-sepsis-following-management,Maternal Sepsis Following Management,Maternal Sepsis Following Management,b00597940015473f8411e59a91205d14,06b88bd326384a1e8a632c199481e5f7,,africa,original,natalia@maternity.dk,,,,
action-card,res-action-card-maternal-sepsis-identify-cause,Maternal Sepsis Identify Cause,Maternal Sepsis Identify Cause,e15255a9ecf44bdcbd2588e8bd2a709d,727b37ca19f6422ca03b55313ab798f3,,africa,original,natalia@maternity.dk,,,,
